Skills,Questions
Mongodb,"Que-1: What is MongoDB, and how does it differ from traditional relational databases?"
,Que-2: What is a document in MongoDB? How is it structured?
,"Que-3: What are collections in MongoDB, and how do they differ from tables in relational databases?"
,Que-4: How does MongoDB handle indexing? What types of indexes are supported?
,Que-5: What are the different ways to query documents in MongoDB?
,Que-6: Explain the concept of sharding in MongoDB. How does it differ from replication?
,"Que-7: What is the Aggregation Framework in MongoDB, and when would you use it?"
,Que-8: How does MongoDB handle schema design? Is it possible to enforce schemas?
,Que-9: Explain how MongoDB handles transactions. What are the limitations of transactions in MongoDB?
,Que-10: What are the most common performance tuning techniques for MongoDB?
,
Express,"Que-1: What is Express.js, and how does it relate to Node.js?"
,Que-2: How do you set up a basic Express server?
,"Que-3: What is middleware in Express.js, and how does it work?"
,Que-4: How do you handle routing in Express?
,"Que-5: What is the next() function in Express, and when should you use it?"
,Que-6: How do you handle static files in Express?
,Que-7: What is the significance of req and res objects in Express?
,Que-8: How do you manage sessions in Express.js?
,Que-9: How can you secure an Express application?
,"Que-10: What is the role of error handling in Express, and how do you implement it?"
,
React,"Que-1: What is React, and how does it fit into the MERN stack?"
,Que-2: What are functional components and class components in React?
,Que-3: What is the purpose of the useState and useEffect hooks in React?
,"Que-4: How does React's virtual DOM work, and why is it efficient?"
,"Que-5: What are props in React, and how do they differ from state?"
,Que-6: How do you handle routing in a React application?
,"Que-7: What is Redux, and how does it manage state in a React application?"
,Que-8: How do you handle form validation in React?
,Que-9: What is the difference between server-side rendering (SSR) and client-side rendering (CSR) in React?
,Que-10: How do you integrate a React frontend with an Express/Node.js backend?
,
Node.js,"Que-1: What is Node.js, and how does it differ from traditional server-side platforms like PHP or Java?"
,Que-2: What is the event-driven architecture in Node.js?
,Que-3: How does Node.js handle asynchronous code?
,"Que-4: What are streams in Node.js, and how are they used?"
,Que-5: What is the purpose of middleware in Node.js applications?
,Que-6: How does Node.js manage file handling and I/O operations?
,Que-7: What are the main differences between require and import in Node.js?
,"Que-8: What is clustering in Node.js, and why is it important?"
,Que-9: How do you handle errors in Node.js?
,"Que-10: What is the purpose of npm, and how do you manage dependencies in a Node.js project?"
,
HTML,"Que-1: What is HTML, and why is it important in web development?"
,"Que-2: What are semantic HTML elements, and why should you use them?"
,Que-3: What is the difference between <div> and <span> elements in HTML?
,"Que-4: What are the different types of form elements in HTML, and how do they work?"
,Que-5: What is the difference between block-level and inline-level elements in HTML?
,Que-6: What is the purpose of the alt attribute in the <img> tag?
,Que-7: How do you create a hyperlink in HTML?
,Que-8: What are the differences between HTML5 and previous versions of HTML?
,Que-9: How do you include multimedia (audio and video) in an HTML document?
,Que-10: What is the purpose of the DOCTYPE declaration in an HTML document?
,
CSS,"Que-1: What is CSS, and how does it work with HTML?"
,Que-2: What is the box model in CSS?
,"Que-3: What are CSS selectors, and how do they work?"
,"Que-4: What is the difference between absolute, relative, fixed, and sticky positioning in CSS?"
,"Que-5: How does Flexbox work in CSS, and what problem does it solve?"
,"Que-6: What is CSS Grid, and how does it compare to Flexbox?"
,Que-7: How do you create a responsive design using CSS?
,"Que-8: What is the difference between em, rem, px, and % units in CSS?"
,Que-9: What are pseudo-classes and pseudo-elements in CSS?
,Que-10: How does CSS specificity work?
